Time,Input,Output
0.202,46.4629,38.1375
0.203,46.9188,38.7844
0.204,47.3298,39.2836
0.205,47.6929,39.8531
0.206,48.0053,40.4859
0.207,48.2647,40.9852
0.208,48.4693,41.5547
0.209,48.6178,42.2086
0.21,48.7092,42.7852
0.211,48.7434,43.3477
0.212,48.7205,43.8891
0.213,48.641,44.4375
0.214,48.5063,44.9719
0.215,48.3178,45.5133
0.216,48.0777,46.0477
0.217,47.7885,46.5609
0.218,47.4532,46.9898
0.219,47.0752,47.2992
0.22,46.658,47.4961
0.221,46.2059,47.5945
0.222,45.723,47.5875
0.223,45.214,47.4891
0.224,44.6837,47.3133
0.225,44.1371,47.0742
0.226,43.5792,46.7578
0.227,43.0152,46.3781
0.228,42.4504,45.9422
0.229,41.89,45.45
0.23,41.339,44.9156
0.231,40.8026,44.3461
0.232,40.2857,43.7555
0.233,39.7929,43.1297
0.234,39.3288,42.4688
0.235,38.8977,41.7656
0.236,38.5034,41.0555
0.237,38.1496,40.3734
0.238,37.8395,39.7266
0.239,37.576,39.1219
0.24,37.3614,38.5875
0.241,37.1977,38.1234
0.242,37.0866,37.7367
0.243,37.0291,37.4203
0.244,37.0258,37.1812
0.245,37.0768,37.0266
0.246,37.1819,36.9
0.247,37.3401,36.8578
0.248,37.5502,36.8789
0.249,37.8106,36.9563
0.25,38.119,37.0758
0.251,38.4729,37.2375
0.252,38.8693,37.4273
0.253,39.3049,37.6523
0.254,39.7761,37.9195
0.255,40.2789,38.2219
0.256,40.809,38.5664
0.257,41.3622,38.9531
0.258,41.9337,39.3539
0.259,42.5187,39.7828
0.26,43.1124,40.2258
0.261,43.7099,40.6828
0.262,44.3061,41.1609
0.263,44.8962,41.6531
0.264,45.4753,42.1664
0.265,46.0387,42.6867
0.266,46.5817,43.2633
0.267,47.1,43.7766
0.268,47.5893,44.2195
0.269,48.0458,44.7328
0.27,48.4659,45.2531
0.271,48.8462,45.7664
0.272,49.1838,46.2797
0.273,49.4763,46.7859
0.274,49.7214,47.2711
0.275,49.9174,47.8125
0.276,50.063,48.2766
0.277,50.1575,48.7055
0.278,50.2004,49.0359
0.279,50.1917,49.3383
0.28,50.1319,49.5703
0.281,50.0221,49.7391
0.282,49.8636,49.8094
0.283,49.6582,49.8234
0.284,49.4081,49.7812
0.285,49.1159,49.6828
0.286,48.7846,49.5562
0.287,48.4174,49.3945
0.288,48.018,49.2047
0.289,47.5902,48.9867
0.29,47.138,48.7266
0.291,46.6659,48.4172
0.292,46.1782,48.0656
0.293,45.6795,47.6859
0.294,45.1745,47.2641
0.295,44.6679,46.807
0.296,44.1644,46.3148
0.297,43.6687,45.8016
0.298,43.1852,45.2812
0.299,42.7186,44.768
0.3,42.273,44.332
0.301,41.8526,43.7836
0.302,41.4612,43.2984
0.303,41.1024,42.8133
0.304,40.7796,42.3422
0.305,40.4957,41.8922
0.306,40.2532,41.4914
0.307,40.0546,41.1258
0.308,39.9016,40.8375
0.309,39.7957,40.5141
0.31,39.7379,40.275
0.311,39.7288,40.0711
0.312,39.7687,39.9094
0.313,39.8573,39.7828
0.314,39.9938,39.7125
0.315,40.1773,39.6914
0.316,40.4062,39.7195
0.317,40.6786,39.8039
0.318,40.9923,39.9305
0.319,41.3447,40.0922
