Time,Input,Output
0.199,8.03914,6.22826
0.2,8.16632,6.10789
0.201,8.28609,6.10789
0.202,8.39751,5.97669
0.203,8.49967,5.98857
0.204,8.5918,5.98857
0.205,8.67317,6.02426
0.206,8.74318,6.02426
0.207,8.80131,5.97669
0.208,8.84716,5.97669
0.209,8.88044,6.11988
0.21,8.90094,5.91748
0.211,8.9086,5.91748
0.212,8.90346,6.22826
0.213,8.88566,6.41077
0.214,8.85545,6.47213
0.215,8.81321,6.47213
0.216,8.7594,6.65778
0.217,8.6946,6.65778
0.218,8.61945,6.69519
0.219,8.53472,6.69519
0.22,8.44124,6.58324
0.221,8.3399,6.68271
0.222,8.23168,7.2936
0.223,8.11761,7.43698
0.224,7.99877,7.2936
0.225,7.87626,7.26766
0.226,7.75123,7.26766
0.227,7.62484,7.7943
0.228,7.49826,7.91509
0.229,7.37265,7.7943
0.23,7.24917,7.87473
0.231,7.12896,7.87473
0.232,7.0131,8.07748
0.233,6.90267,8.26882
0.234,6.79867,8.26882
0.235,6.70205,8.25509
0.236,6.61369,8.25509
0.237,6.53439,8.47611
0.238,6.46489,8.47611
0.239,6.40582,8.46222
0.24,6.35773,8.36526
0.241,6.32106,8.46222
0.242,6.29616,8.64364
0.243,6.28327,8.64364
0.244,6.28253,8.50393
0.245,6.29396,8.50393
0.246,6.3175,8.29633
0.247,6.35296,8.25509
0.248,6.40006,8.18657
0.249,6.45841,8.18657
0.25,6.52753,8.25509
0.251,6.60684,8.25509
0.252,6.69568,7.98257
0.253,6.7933,7.71424
0.254,6.8989,7.30658
0.255,7.01158,7.45008
0.256,7.1304,7.45008
0.257,7.25437,7.01062
0.258,7.38244,7.01062
0.259,7.51356,7.01062
0.26,7.64661,6.95971
0.261,7.78051,6.95971
0.262,7.91414,6.70768
0.263,8.04639,6.70768
0.264,8.17618,6.70768
0.265,8.30244,6.50907
0.266,8.42413,6.50907
0.267,8.54029,6.68271
0.268,8.64995,6.32531
0.269,8.75226,6.52141
0.27,8.8464,6.45984
0.271,8.93163,6.52141
0.272,9.0073,6.45984
0.273,9.07284,6.67024
